대표발의자_정당,공동발의자_정당,협력지수,파일명,평균_혼합성지수
더불어민주당,더불어민주당,0.922174903789185,20대_소관위원회_교육위원회.csv,0.11107921928817452
더불어민주당,자유한국당,0.02185737736214601,20대_소관위원회_교육위원회.csv,0.11107921928817452
더불어민주당,정의당,0.07843438815440162,20대_소관위원회_교육위원회.csv,0.11107921928817452
자유한국당,국민의당,0.025060176406640138,20대_소관위원회_교육위원회.csv,0.11107921928817452
자유한국당,더불어민주당,0.01277554743758722,20대_소관위원회_교육위원회.csv,0.11107921928817452
자유한국당,자유한국당,0.9461985177857849,20대_소관위원회_교육위원회.csv,0.11107921928817452
자유한국당,정의당,0.00256917497769354,20대_소관위원회_교육위원회.csv,0.11107921928817452
정의당,국민의당,0.04717016116601467,20대_소관위원회_교육위원회.csv,0.11107921928817452
정의당,더불어민주당,0.0862810038983564,20대_소관위원회_교육위원회.csv,0.11107921928817452
정의당,자유한국당,0.0011740656075696337,20대_소관위원회_교육위원회.csv,0.11107921928817452
정의당,정의당,0.5301753583984463,20대_소관위원회_교육위원회.csv,0.11107921928817452
국민의당,국민의당,0.6817956675878105,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
국민의당,더불어민주당,0.1800510210597782,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
국민의당,자유한국당,0.09386667060242285,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
국민의당,정의당,0.02969682980990332,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
더불어민주당,국민의당,0.1296596229437067,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
더불어민주당,더불어민주당,0.8437623775802091,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
더불어민주당,자유한국당,0.047224112973898634,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
더불어민주당,정의당,0.07097789590841881,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
자유한국당,국민의당,0.08188340114461269,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
자유한국당,더불어민주당,0.060063708321176454,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
자유한국당,자유한국당,0.8428989745116688,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
자유한국당,정의당,0.0026406604040084733,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
정의당,국민의당,0.024112856379463303,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
정의당,더불어민주당,0.04183219438629251,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
정의당,정의당,0.413802944301184,20대_소관위원회_농림축산식품해양수산위원회.csv,0.19937988676193044
국민의당,국민의당,0.6750414584653045,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
국민의당,더불어민주당,0.13550213625819965,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
국민의당,자유한국당,0.0672587581713893,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
국민의당,정의당,0.021829875660535552,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
더불어민주당,국민의당,0.1274925648282015,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
더불어민주당,더불어민주당,0.9047933796476003,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
더불어민주당,자유한국당,0.023153925591813,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
더불어민주당,정의당,0.07348563702821814,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
자유한국당,국민의당,0.05597119119273725,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
자유한국당,더불어민주당,0.030618966953723136,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
자유한국당,자유한국당,0.9087318351681998,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
자유한국당,정의당,0.008910908559782953,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
정의당,국민의당,0.03987848192657354,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
