Source,Target,Source_Party,Target_Party,Source_Reselection,Target_Reselection,Source_District_Type,Target_District_Type,Source_Gender,Target_Gender,Source_Role,Target_Role
박재호,황희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
안호영,황희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
어기구,황희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
전해철,황희,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
최인호,황희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
홍익표,황희,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
김병관,오제세,더불어민주당,더불어민주당,초선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
김영호,오제세,더불어민주당,더불어민주당,초선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
박덕흠,오제세,자유한국당,더불어민주당,재선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
박주민,오제세,더불어민주당,더불어민주당,초선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
오제세,윤일규,더불어민주당,더불어민주당,4선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
오제세,이명수,더불어민주당,자유한국당,4선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
오제세,이상민,더불어민주당,더불어민주당,4선,4선,지역구,지역구,남,남,Representative,Co-Sponsor
오제세,이찬열,더불어민주당,더불어민주당,4선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
오제세,전혜숙,더불어민주당,더불어민주당,4선,재선,지역구,지역구,남,여,Representative,Co-Sponsor
김병기,설훈,더불어민주당,더불어민주당,초선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
김상희,설훈,더불어민주당,더불어민주당,3선,4선,지역구,지역구,여,남,Co-Sponsor,Representative
김철민,설훈,더불어민주당,더불어민주당,초선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
김한정,설훈,더불어민주당,더불어민주당,초선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
노웅래,설훈,더불어민주당,더불어민주당,3선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
박정,설훈,더불어민주당,더불어민주당,초선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
서삼석,설훈,더불어민주당,더불어민주당,초선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
설훈,소병훈,더불어민주당,더불어민주당,4선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
설훈,송갑석,더불어민주당,더불어민주당,4선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
설훈,신창현,더불어민주당,더불어민주당,4선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
설훈,심기준,더불어민주당,더불어민주당,4선,초선,지역구,비례대표,남,남,Representative,Co-Sponsor
설훈,어기구,더불어민주당,더불어민주당,4선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
설훈,유성엽,더불어민주당,국민의당,4선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
설훈,윤일규,더불어민주당,더불어민주당,4선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
설훈,이개호,더불어민주당,더불어민주당,4선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
설훈,이원욱,더불어민주당,더불어민주당,4선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
설훈,이찬열,더불어민주당,더불어민주당,4선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
설훈,임종성,더불어민주당,더불어민주당,4선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
설훈,전재수,더불어민주당,더불어민주당,4선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
설훈,정세균,더불어민주당,더불어민주당,4선,6선,지역구,지역구,남,남,Representative,Co-Sponsor
설훈,정재호,더불어민주당,더불어민주당,4선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병기,송기헌,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박광온,송기헌,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박재호,송기헌,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
백혜련,송기헌,더불어민주당,더불어민주당,초선,초선,지역구,지역구,여,남,Co-Sponsor,Representative
송기헌,신창현,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
송기헌,심기준,더불어민주당,더불어민주당,초선,초선,지역구,비례대표,남,남,Representative,Co-Sponsor
송기헌,이상헌,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
송기헌,이용득,더불어민주당,더불어민주당,초선,초선,지역구,비례대표,남,남,Representative,Co-Sponsor
송기헌,인재근,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Representative,Co-Sponsor
박광온,송기헌,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박재호,송기헌,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
백혜련,송기헌,더불어민주당,더불어민주당,초선,초선,지역구,지역구,여,남,Co-Sponsor,Representative
송기헌,신창현,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
송기헌,심기준,더불어민주당,더불어민주당,초선,초선,지역구,비례대표,남,남,Representative,Co-Sponsor
송기헌,이상헌,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
송기헌,이석현,더불어민주당,더불어민주당,초선,6선,지역구,지역구,남,남,Representative,Co-Sponsor
송기헌,이용득,더불어민주당,더불어민주당,초선,초선,지역구,비례대표,남,남,Representative,Co-Sponsor
송기헌,인재근,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Representative,Co-Sponsor
김종회,이찬열,국민의당,더불어민주당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
김현아,이찬열,자유한국당,더불어민주당,초선,3선,비례대표,지역구,여,남,Co-Sponsor,Representative
박주민,이찬열,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
박찬대,이찬열,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
신용현,이찬열,국민의당,더불어민주당,초선,3선,지역구,지역구,여,남,Co-Sponsor,Representative
유동수,이찬열,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
이동섭,이찬열,국민의당,더불어민주당,초선,3선,비례대표,지역구,남,남,Co-Sponsor,Representative
이용득,이찬열,더불어민주당,더불어민주당,초선,3선,비례대표,지역구,남,남,Co-Sponsor,Representative
이찬열,임재훈,더불어민주당,바른미래당,3선,초선,지역구,비례대표,남,남,Representative,Co-Sponsor
이찬열,전재수,더불어민주당,더불어민주당,3선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
이찬열,전혜숙,더불어민주당,더불어민주당,3선,재선,지역구,지역구,남,여,Representative,Co-Sponsor
이찬열,황주홍,더불어민주당,국민의당,3선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
김영주,신창현,더불어민주당,더불어민주당,3선,초선,지역구,지역구,여,남,Co-Sponsor,Representative
맹성규,신창현,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박찬대,신창현,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박홍근,신창현,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
서영교,신창현,더불어민주당,더불어민주당,재선,초선,지역구,지역구,여,남,Co-Sponsor,Representative
신창현,어기구,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
신창현,윤준호,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
신창현,전재수,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
신창현,표창원,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,김태년,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,노웅래,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,박정,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,백재현,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,신창현,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,안호영,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,윤관석,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,전혜숙,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Representative,Co-Sponsor
권칠승,정재호,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김도읍,이진복,자유한국당,자유한국당,재선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
김성원,이진복,자유한국당,자유한국당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
박명재,이진복,자유한국당,자유한국당,재선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
박성중,이진복,자유한국당,자유한국당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
유재중,이진복,자유한국당,자유한국당,3선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
윤재옥,이진복,자유한국당,자유한국당,재선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
