노드,Betweenness,소관위원회
이해식,0.001357510361303578,법제사법위원회
이형석,0.010840978077596883,법제사법위원회
임오경,0.000753806383343708,법제사법위원회
임호선,0.004627644990391796,법제사법위원회
장경태,0.0014814851837346831,법제사법위원회
장철민,0.0003982884798296737,법제사법위원회
전재수,0.00017228641297418454,법제사법위원회
전해철,0.00023863074752968134,법제사법위원회
전혜숙,0.0,법제사법위원회
정성호,0.011410105277388134,법제사법위원회
정일영,0.006110496305312147,법제사법위원회
정청래,0.0010216803238022039,법제사법위원회
정춘숙,0.005830700426693609,법제사법위원회
정태호,0.001952493352939291,법제사법위원회
조승래,0.0005728515125255186,법제사법위원회
조오섭,0.005769617601662599,법제사법위원회
주철현,0.0,법제사법위원회
진선미,0.000448942723402066,법제사법위원회
진성준,0.0005659732230650691,법제사법위원회
천준호,0.0,법제사법위원회
최기상,0.004960879537817182,법제사법위원회
최인호,0.0,법제사법위원회
최종윤,0.001177673868974319,법제사법위원회
최혜영,0.023511259396400058,법제사법위원회
한병도,0.009593670123762665,법제사법위원회
허영,0.0008838703714602836,법제사법위원회
홍기원,0.0006148305660936285,법제사법위원회
홍성국,0.0025930412636341153,법제사법위원회
홍익표,0.0036231842820745983,법제사법위원회
황희,0.0,법제사법위원회
김은희,0.0,법제사법위원회
김희곤,0.0017850446655637336,법제사법위원회
박덕흠,0.011111709677625505,법제사법위원회
정경희,0.0005310948443500177,법제사법위원회
황보승희,0.001974964016670906,법제사법위원회
송석준,0.006698677638850687,법제사법위원회
지성호,0.0008378805976953519,법제사법위원회
정우택,0.0011702692077947394,법제사법위원회
태영호,0.01650531987411082,법제사법위원회
이인선,0.0,법제사법위원회
김미애,0.010100226692475633,법제사법위원회
김근태,0.0,법제사법위원회
윤영석,0.0012324222705396484,법제사법위원회
김예지,0.06005753593478765,법제사법위원회
권명호,0.0015420451404625942,법제사법위원회
백종헌,0.0002768352848476138,법제사법위원회
윤한홍,0.0019495638522071827,법제사법위원회
박진,0.0,법제사법위원회
이양수,0.0025910155031262975,법제사법위원회
박성중,0.0,법제사법위원회
조정훈,0.025932298657638162,법제사법위원회
임병헌,0.00010590908163548789,법제사법위원회
이주환,0.0015332021036768247,법제사법위원회
김성원,0.008492684525906034,법제사법위원회
김학용,0.0005840088490950603,법제사법위원회
김용판,0.0037090208737321165,법제사법위원회
구자근,0.0034955779868765446,법제사법위원회
정운천,0.006159450010124476,법제사법위원회
정동만,0.0,법제사법위원회
김형동,0.0015062773405668678,법제사법위원회
김도읍,0.0015697090751040817,법제사법위원회
김석기,0.006544176024897695,법제사법위원회
권성동,0.0012957190794304955,법제사법위원회
박형수,0.0004114828607169552,법제사법위원회
유상범,0.006058715976384518,법제사법위원회
장동혁,0.0010151727758892987,법제사법위원회
전주혜,0.0271372447096736,법제사법위원회
우신구,0.0,법제사법위원회
이명수,0.011161463677689604,법제사법위원회
홍문표,0.0,법제사법위원회
이태규,0.007585624714012668,법제사법위원회
박대수,0.0036056113428811517,법제사법위원회
정희용,0.0,법제사법위원회
양정숙,0.023333556363251184,법제사법위원회
윤영덕,0.002225911771482566,법제사법위원회
김남국,0.006005968815304396,법제사법위원회
주호영,0.0016988197612587404,법제사법위원회
임종성,0.0006193626693242536,법제사법위원회
류성걸,0.0004993217938531529,법제사법위원회
안병길,0.002593038316673567,법제사법위원회
한무경,0.001429696335931854,법제사법위원회
하영제,0.0014463704604689494,법제사법위원회
이채익,0.002584746098161396,법제사법위원회
최영희,0.003926801446834366,법제사법위원회
류호정,0.011627284680529407,법제사법위원회
이은주,0.003852850453294175,법제사법위원회
박정하,0.0,법제사법위원회
성일종,0.0,법제사법위원회
설훈,0.0003956768806169033,법제사법위원회
이상민,0.0011864143502491231,법제사법위원회
이원욱,0.01157537966131971,법제사법위원회
홍영표,0.0005322515378444719,법제사법위원회
이용호,0.028275853559475487,법제사법위원회
서범수,0.0064994473492406245,법제사법위원회
이달곤,0.0003904097083292718,법제사법위원회
최승재,0.006878087236250482,법제사법위원회
전봉민,0.0004372454336491928,법제사법위원회
김정재,0.002559936229522205,법제사법위원회
박성민,0.003519433348634818,법제사법위원회
이용,0.0,법제사법위원회
박수영,0.0039159194294491936,법제사법위원회
정점식,0.0016491695385772271,법제사법위원회
김상훈,0.0007844238216924375,법제사법위원회
김태호,0.007684839781745321,법제사법위원회
임이자,0.00215071387109946,법제사법위원회
김종민,0.007144024628459545,법제사법위원회
박대출,0.0019388265038628916,법제사법위원회
이종배,0.009832038626558084,법제사법위원회
양금희,0.0059075563583222915,법제사법위원회
이상헌,0.0029663633954323744,법제사법위원회
양향자,0.028277835436635604,법제사법위원회
권은희,0.0032013344137590475,법제사법위원회
최연숙,0.014816528553314725,법제사법위원회
윤관석,0.0,법제사법위원회
박영순,0.005120230499237937,법제사법위원회
조은희,0.0020716979160045087,법제사법위원회
최강욱,0.0019986533550179863,법제사법위원회
한기호,0.0005048824076436006,법제사법위원회
김영선,0.00045363082596058953,법제사법위원회
신원식,0.0,법제사법위원회
엄태영,0.0023601590025710607,법제사법위원회
안철수,0.0,법제사법위원회
강민국,0.001690322723452813,법제사법위원회
김승수,0.00794491033121059,법제사법위원회
배현진,0.0,법제사법위원회
송언석,0.001521646568535851,법제사법위원회
윤두현,0.0,법제사법위원회
이만희,0.00011448966280846223,법제사법위원회
정진석,0.0007057631390026175,법제사법위원회
서정숙,0.0007729731970980875,법제사법위원회
박완주,0.0005052865174956416,법제사법위원회
홍석준,0.0028816264920916504,법제사법위원회
최재형,8.967494159544995e-05,법제사법위원회
최형두,0.0023021617706048937,법제사법위원회
조해진,5.107781886352555e-05,법제사법위원회
김선교,0.0013710167294652678,법제사법위원회
장제원,0.00028837493648933057,법제사법위원회
이철규,0.000820588864214206,법제사법위원회
김기현,0.007181796639301175,법제사법위원회
윤재옥,0.00026007632663195795,법제사법위원회
,0.0,법제사법위원회
허은아,0.0009435463544445737,법제사법위원회
정찬민,0.00987018077972694,법제사법위원회
조태용,0.0,법제사법위원회
김진표,0.0009146210349146481,법제사법위원회
박완수,7.260108574587326e-05,법제사법위원회
송영길,0.0009337758941121884,법제사법위원회
추경호,0.011803524831208298,법제사법위원회
이광재,0.0,법제사법위원회
오영훈,0.00043888851844441236,법제사법위원회
김태흠,0.0,법제사법위원회
김은혜,0.00012767543422420106,법제사법위원회
홍준표,9.675178515620649e-05,법제사법위원회
권영세,0.0,법제사법위원회
이영,4.4390024347725496e-05,법제사법위원회
곽상도,0.00010544925320697924,법제사법위원회
